id,name,city,state,zip,type,status,county,countyfips,country,latitude,longitude,naics_code,naics_desc,source,sourcedate,val_method,val_date,lines,max_volt,min_volt,max_infer,min_infer
200001,INGLEDOW,SURREY,BC,NOT AVAILABLE,SUBSTATION,IN SERVICE,NOT AVAILABLE,NOT AVAILABLE,CAN,49.16,-122.87,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,Company Shapefile,"12/4/2014, 4:00 PM",IMAGERY/OTHER,"12/4/2014, 4:00 PM",2,500,500,Y,Y
200002,WHALLEY,SURREY,BC,NOT AVAILABLE,SUBSTATION,IN SERVICE,NOT AVAILABLE,NOT AVAILABLE,CAN,49.19,-122.84,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,Company Shapefile,"12/4/2014, 4:00 PM",IMAGERY/OTHER,"12/4/2014, 4:00 PM",0,"-999,999","-999,999",N,N
200003,CAMBIE,NOT AVAILABLE,BC,NOT AVAILABLE,SUBSTATION,IN SERVICE,NOT AVAILABLE,NOT AVAILABLE,CAN,49.19,-123.06,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,Company Shapefile,"12/4/2014, 4:00 PM",IMAGERY/OTHER,"12/4/2014, 4:00 PM",0,"-999,999","-999,999",N,N
200004,KNIGHT STREET,VANCOUVER,BC,NOT AVAILABLE,SUBSTATION,IN SERVICE,NOT AVAILABLE,NOT AVAILABLE,CAN,49.21,-123.08,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,Company Shapefile,"12/4/2014, 4:00 PM",IMAGERY/OTHER,"12/4/2014, 4:00 PM",0,"-999,999","-999,999",N,N
200005,ARNOTT,NOT AVAILABLE,BC,NOT AVAILABLE,SUBSTATION,IN SERVICE,NOT AVAILABLE,NOT AVAILABLE,CAN,49.09,-123.04,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,Company Shapefile,"12/4/2014, 4:00 PM",IMAGERY/OTHER,"12/4/2014, 4:00 PM",0,"-999,999","-999,999",N,N
200006,RUSKIN,NOT AVAILABLE,BC,NOT AVAILABLE,SUBSTATION,IN SERVICE,NOT AVAILABLE,NOT AVAILABLE,CAN,49.19,-122.41,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,Company Shapefile,"12/4/2014, 4:00 PM",IMAGERY/OTHER,"12/4/2014, 4:00 PM",0,"-999,999","-999,999",N,N
200007,MERIDIAN,NOT AVAILABLE,BC,NOT AVAILABLE,SUBSTATION,IN SERVICE,NOT AVAILABLE,NOT AVAILABLE,CAN,49.31,-122.81,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,Company Shapefile,"12/4/2014, 4:00 PM",IMAGERY/OTHER,"12/4/2014, 4:00 PM",0,"-999,999","-999,999",N,N
200008,MCLELLAN,NOT AVAILABLE,BC,NOT AVAILABLE,SUBSTATION,IN SERVICE,NOT AVAILABLE,NOT AVAILABLE,CAN,49.1,-122.68,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,Company Shapefile,"12/4/2014, 4:00 PM",IMAGERY/OTHER,"12/4/2014, 4:00 PM",0,"-999,999","-999,999",N,N
200009,NICOLA,NOT AVAILABLE,BC,NOT AVAILABLE,SUBSTATION,IN SERVICE,NOT AVAILABLE,NOT AVAILABLE,CAN,50.18,-120.39,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,Company Shapefile,"12/4/2014, 4:00 PM",IMAGERY/OTHER,"12/4/2014, 4:00 PM",0,"-999,999","-999,999",N,N
200010,CLOVERDALE,SURREY,BC,NOT AVAILABLE,SUBSTATION,IN SERVICE,NOT AVAILABLE,NOT AVAILABLE,CAN,49.1,-122.71,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,Company Shapefile,"12/4/2014, 4:00 PM",IMAGERY/OTHER,"12/4/2014, 4:00 PM",0,"-999,999","-999,999",N,N
