outageId,outageGisId,outageRegionId,outageMunicipality,outageArea,outageCause,numCustomersOut,crewEta,dateServiceOut,dateServiceRestored,estDateServiceRestored,crewEtr,outageLastUpdated,outageRegionName,outageLatitude,outageLongitude,nearestSubstationId,outageToSubstationDistance,substationName,substationCity,typeOfSubstation,statusOfSubstation,substationLatitude,substationLongitude
2527941,2502004.0,1602896846,Nanaimo,2300 block MILL RD,Equipment failure,4,,2024-12-20 15:26:00+00:00,2025-01-08 20:11:24+00:00,2025-01-08 19:30:00+00:00,2025-01-08 19:30:00+00:00,2025-01-08 19:09:03+00:00,North VI,49.168143,-124.008628,200044,0.8521682286534765,JINGLE POT,NOT AVAILABLE,SUBSTATION,IN SERVICE,49.17,-124.02
2529684,2503713.0,2072041405,Nakusp,"MT SCAIA RADIO SITE, BENCH CREEK  HWY 6",Tree down across our wires,2,2025-01-02 19:30:00+00:00,2024-12-23 22:40:56+00:00,2025-01-03 02:12:19+00:00,2025-01-03 02:00:00+00:00,2025-01-03 02:00:00+00:00,2025-01-02 22:58:15+00:00,Okanagan/Kootenay,49.90809,-118.316474,200310,11.99328245023852,MONASHEE,NOT AVAILABLE,SUBSTATION,IN SERVICE,49.92,-118.15
2532863,2506815.0,1602896846,Nanaimo,"East of BOUNDARY CRS, North of BOWEN RD, West of WADDINGTON RD, South of ST PATRICK CRS",Under investigation,11,2025-01-02 00:30:00+00:00,2025-01-01 21:05:00+00:00,2025-01-02 02:11:03+00:00,2025-01-02 00:50:00+00:00,2025-01-02 00:50:00+00:00,2025-01-02 00:43:23+00:00,North VI,49.178969,-123.965981,200045,2.7600291677435473,NORTHFIELD,NANAIMO,SUBSTATION,IN SERVICE,49.19,-124.0
2532865,2506817.0,521980323,Vancouver,6600 block LANARK ST,Under investigation,1,2025-01-01 22:45:00+00:00,2025-01-01 21:21:00+00:00,2025-01-02 00:50:28+00:00,,,2025-01-01 22:48:42+00:00,Lower Mainland,49.223523,-123.07545,200098,0.7923843765060699,MAINWARING,VANCOUVER,SUBSTATION,IN SERVICE,49.23,-123.08
2532866,2506818.0,1602896846,Courtenay,3300 block BRIGANTINE CRS,Tree down across our wires,4,2025-01-02 00:20:00+00:00,2025-01-01 21:32:00+00:00,2025-01-02 02:11:03+00:00,,,2025-01-02 00:17:02+00:00,North VI,49.548019,-124.669094,200042,14.389379479948746,NILE CREEK TERMINAL,NOT AVAILABLE,SUBSTATION,IN SERVICE,49.42,-124.64
2532867,2506819.0,521980323,"Belcarra, North Vancouver, Port Moody","North of COOMBE LN, East of MT SEYMOUR RD",Tree down across our wires,301,,2025-01-01 21:43:00+00:00,2025-01-02 20:27:17+00:00,2025-01-02 22:00:00+00:00,2025-01-02 22:00:00+00:00,2025-01-02 20:00:29+00:00,Lower Mainland,49.351019,-122.916946,200140,4.684181931402242,BUNTZEN NO. 1,NOT AVAILABLE,SUBSTATION,IN SERVICE,49.38,-122.87
2532868,2506820.0,725364552,Kamloops,"3100 block UPPER FADEAR CRK, 3600 block FADEAR CREEK RD",Work being done on our equipment,4,2025-01-01 22:40:00+00:00,2025-01-01 22:33:13+00:00,2025-01-02 04:12:41+00:00,2025-01-02 01:00:00+00:00,2025-01-02 01:00:00+00:00,2025-01-02 02:25:37+00:00,Thompson/Shuswap,51.028204,-119.915869,200291,31.754702342957817,HEFFLEY TAP,NOT AVAILABLE,TAP,IN SERVICE,50.85,-120.27
2532880,2506832.0,521980323,Coquitlam,500 block CLARKE RD,Under investigation,3,2025-01-02 00:50:00+00:00,2025-01-01 23:22:55+00:00,2025-01-02 02:53:35+00:00,,,2025-01-02 01:17:01+00:00,Lower Mainland,49.261175,-122.888622,200111,0.8359520942846045,BARNARD,BURNABY,SUBSTATION,IN SERVICE,49.26,-122.9
2532884,2506836.0,521980323,North Vancouver,"East of RUFUS AVE, West of EDGEWATER LN, North of FERN ST, South of CARMARIA CRT",Tree down across our wires,1583,2025-01-02 02:45:00+00:00,2025-01-02 00:27:21+00:00,2025-01-02 03:14:10+00:00,2025-01-02 03:15:00+00:00,2025-01-02 03:15:00+00:00,2025-01-02 02:43:28+00:00,Lower Mainland,49.3196,-123.028757,200123,1.071267240353899,WALTERS,NORTH VANCOUVER DISTRICT,SUBSTATION,IN SERVICE,49.31,-123.03
2532887,2506839.0,521980323,North Vancouver,1500 block MERLYNN CRES,Under investigation,10,,2025-01-02 02:47:00+00:00,2025-01-02 03:14:10+00:00,,,2025-01-02 02:48:35+00:00,Lower Mainland,49.327809,-123.032294,200129,0.6092649422247464,LYNN VALLEY,NORTH VANCOUVER DISTRICT,SUBSTATION,IN SERVICE,49.33,-123.04
2532921,2506873.0,1602964060,Hazelton,8500 block 9 MILE MOUNTAIN RD,Tree down across our wires,1,2025-01-02 06:00:00+00:00,2025-01-02 04:23:00+00:00,2025-01-02 07:24:14+00:00,2025-01-02 07:00:00+00:00,2025-01-02 07:00:00+00:00,2025-01-02 06:59:50+00:00,Northern,55.296089,-127.622318,200228,6.238540838686746,HAZELTON,NOT AVAILABLE,SUBSTATION,IN SERVICE,55.24,-127.62
2532922,2506874.0,521980323,Surrey,"10600 block KING GEORGE BLVD, 10600 - 10700 block 135A ST",Fire,42,2025-01-02 07:40:00+00:00,2025-01-02 06:56:56+00:00,2025-01-02 08:32:12+00:00,,,2025-01-02 07:57:33+00:00,Lower Mainland,49.196969,-122.846726,200002,0.9161764099679813,WHALLEY,SURREY,SUBSTATION,IN SERVICE,49.19,-122.84
2532923,2506875.0,1602964060,Chetwynd,"South-West of JOHN HART HWY 97 , North-East of HWY 97",Wire down,18,2025-01-02 16:25:00+00:00,2025-01-02 07:21:51+00:00,2025-01-02 22:37:45+00:00,2025-01-02 22:30:00+00:00,2025-01-02 22:30:00+00:00,2025-01-02 20:31:57+00:00,Northern,55.54575,-122.458022,200255,48.18691740383944,MORFEE,NOT AVAILABLE,SUBSTATION,IN SERVICE,55.32,-123.11
2532924,2506876.0,521980323,Vancouver,"400 block W 35TH AVE, 5100 block KERSLAND DR",Equipment failure,6,2025-01-02 13:05:00+00:00,2025-01-02 08:21:46+00:00,2025-01-02 15:09:57+00:00,2025-01-02 14:30:00+00:00,2025-01-02 14:30:00+00:00,2025-01-02 13:03:14+00:00,Lower Mainland,49.238997,-123.11539,200098,2.7574213895565363,MAINWARING,VANCOUVER,SUBSTATION,IN SERVICE,49.23,-123.08
2532926,2506878.0,521980323,Burnaby,"4500 block GARDEN GROVE DR, 4500 block ELMGROVE DR",Under investigation,10,2025-01-02 10:50:00+00:00,2025-01-02 08:51:00+00:00,2025-01-02 12:55:05+00:00,,,2025-01-02 11:37:14+00:00,Lower Mainland,49.24354,-122.995364,202166,2.59595000739372,UNKNOWN202166,BURNABY,SUBSTATION,IN SERVICE,49.26,-122.97
2532931,2506882.0,521980323,Delta,"West of 54TH ST, South of SALISH SEA WAY",Under investigation,2688,,2025-01-02 12:12:00+00:00,2025-01-02 14:09:19+00:00,,,2025-01-02 13:32:18+00:00,Lower Mainland,49.030542,-123.106046,200078,0.4448912202715532,TSAWASSEN BEACH TERMINAL,NOT AVAILABLE,SUBSTATION,IN SERVICE,49.03,-123.1
2532933,2506884.0,1812901382,North Saanich,"11100 block HEATHER RD, 1100 block LAUREL RD",equipment contact,5,2025-01-02 16:20:00+00:00,2025-01-02 14:35:14+00:00,2025-01-02 18:34:42+00:00,2025-01-02 18:15:00+00:00,2025-01-02 18:15:00+00:00,2025-01-02 17:57:08+00:00,South VI,48.685624,-123.450994,200071,6.590757340214499,SIDNEY,NORTH SAANICH,SUBSTATION,IN SERVICE,48.63,-123.42
2532936,2506887.0,521980323,Surrey,18500 block 20TH AVE,Under investigation,1,2025-01-02 16:20:00+00:00,2025-01-02 15:18:00+00:00,2025-01-02 17:08:56+00:00,,,2025-01-02 16:19:05+00:00,Lower Mainland,49.037818,-122.709978,200011,5.898080817239011,WHITE ROCK,WHITE ROCK,SUBSTATION,IN SERVICE,49.03,-122.79
2532942,2506893.0,848340027,Williams Lake,1100 block N MACKENZIE AVE,Under investigation,11,2025-01-02 17:15:00+00:00,2025-01-02 16:06:00+00:00,2025-01-02 17:47:05+00:00,,,2025-01-02 17:15:42+00:00,Central Interior,52.145557,-122.162604,200186,0.7062163763330871,WELDWOOD,NOT AVAILABLE,SUBSTATION,IN SERVICE,52.15,-122.17
