id,name,city,latitude,longitude
200001,INGLEDOW,SURREY,49.16,-122.87
200002,WHALLEY,SURREY,49.19,-122.84
200003,CAMBIE,NOT AVAILABLE,49.19,-123.06
200004,KNIGHT STREET,VANCOUVER,49.21,-123.08
200005,ARNOTT,NOT AVAILABLE,49.09,-123.04
200006,RUSKIN,NOT AVAILABLE,49.19,-122.41
200007,MERIDIAN,NOT AVAILABLE,49.31,-122.81
200008,MCLELLAN,NOT AVAILABLE,49.1,-122.68
200009,NICOLA,NOT AVAILABLE,50.18,-120.39
200010,CLOVERDALE,SURREY,49.1,-122.71
200011,WHITE ROCK,WHITE ROCK,49.03,-122.79
200012,KIDD NO. 1,VANCOUVER,49.21,-123.12
200013,ANNACIS ISLAND,NOT AVAILABLE,49.17,-122.94
200014,SCOTT ROAD,SURREY,49.18,-122.89
200015,PORT HARDY,NOT AVAILABLE,50.71,-127.5
200016,KEOGH,NOT AVAILABLE,50.6,-127.29
200017,JEUNE LANDING,NOT AVAILABLE,50.44,-127.49
200018,MARBLE RIVER HATCH,NOT AVAILABLE,50.52,-127.43
200019,PORT MCNEILL,NOT AVAILABLE,50.57,-127.08
200020,BEAVER COVE,NOT AVAILABLE,50.52,-126.88
200026,LADORE FALLS,NOT AVAILABLE,50.02,-125.39
200027,JOHN HART,NOT AVAILABLE,50.04,-125.31
200028,ELK FALLS MILL,NOT AVAILABLE,50.07,-125.28
200029,CAMPBELL RIVER,CAMPBELL RIVER,50.02,-125.25
200030,CAMPBELL RIVER TAP,NOT AVAILABLE,50.02,-125.31
200021,WOSS,NOT AVAILABLE,50.22,-126.59
200022,GOLD RIVER,NOT AVAILABLE,49.79,-126.06
200023,TAHSIS VILLAGE,NOT AVAILABLE,49.92,-126.65
200024,GOLD R. PULP,NOT AVAILABLE,49.68,-126.13
200031,ISLAND COGEN,NOT AVAILABLE,50.07,-125.28
200032,OYSTER RIVER,NOT AVAILABLE,49.9,-125.25
200033,PUNTLEDGE,NOT AVAILABLE,49.69,-125.03
200034,COMOX TAP,NOT AVAILABLE,49.68,-125.05
200035,PUNTLEDGE TAP,NOT AVAILABLE,49.68,-125.04
200036,COMOX,COURTENAY,49.71,-124.97
200037,DUNSMUIR,NOT AVAILABLE,49.39,-124.67
200025,STRATHCONA,NOT AVAILABLE,50.0,-125.58
200038,PORT ALBERNI,PORT ALBERNI,49.25,-124.81
200039,ASH RIVER,NOT AVAILABLE,49.37,-125.15
200040,GREAT CENTRAL,NOT AVAILABLE,49.32,-124.96
200041,LONG BEACH,NOT AVAILABLE,49.0,-125.58
200042,NILE CREEK TERMINAL,NOT AVAILABLE,49.42,-124.64
200043,SAHTLAM,NOT AVAILABLE,48.81,-123.8
200044,JINGLE POT,NOT AVAILABLE,49.17,-124.02
200045,NORTHFIELD,NANAIMO,49.19,-124.0
200046,HARWOOD TAP,NANAIMO,49.13,-123.97
200047,HAREWOOD,NANAIMO,49.13,-123.93
200048,HARMAC,NOT AVAILABLE,49.14,-123.86
200049,NEXEN CHEMICALS,NOT AVAILABLE,49.14,-123.87
200050,NEXEN TAP,NOT AVAILABLE,49.13,-123.87
200051,LADYSMITH,NOT AVAILABLE,48.98,-123.82
200052,LADYSMITH TAP,NOT AVAILABLE,48.98,-123.82
200053,VANCOUVER ISLAND,NOT AVAILABLE,48.83,-123.72
200054,LAKE COWICHAN,LAKE COWICHAN,48.82,-124.06
200055,PREVOST,NOT AVAILABLE,48.82,-123.74
200056,CROFTON,NOT AVAILABLE,48.87,-123.65
200057,KOKSILAH,NOT AVAILABLE,48.76,-123.71
200058,KOKSILAH TAP,NOT AVAILABLE,48.74,-123.72
200059,SNE - SANSUM N ELEC,NOT AVAILABLE,48.77,-123.57
200060,PIKE LAKE,NOT AVAILABLE,48.49,-123.46
200061,GOWARD,NOT AVAILABLE,48.49,-123.42
200062,JORDAN RIVER,NOT AVAILABLE,48.43,-124.05
200063,SOOKE TAP,NOT AVAILABLE,48.4,-123.68
200064,COLWOOD TAP,NOT AVAILABLE,48.45,-123.55
200065,COLWOOD,LANGFORD,48.44,-123.51
200066,BURNETT RD,VIEW ROYAL,48.46,-123.44
200067,ESQUIMALT,ESQUIMALT,48.44,-123.4
200068,HORSEY,VICTORIA,48.44,-123.37
200069,GEORGE TRIPP,SAANICH,48.47,-123.36
200070,KEATING,CENTRAL SAANICH,48.57,-123.41
200071,SIDNEY,NORTH SAANICH,48.63,-123.42
200072,TRINCOMALI,NOT AVAILABLE,48.85,-123.43
200073,SALTSPRING TAP,NOT AVAILABLE,48.86,-123.52
200074,DELTAPORT TAP,NOT AVAILABLE,49.02,-123.16
200075,DELTAPORT,NOT AVAILABLE,49.02,-123.16
200076,CANOE PASS TERMINAL,NOT AVAILABLE,49.05,-123.12
200077,TAP200077,NOT AVAILABLE,49.06,-123.08
200078,TSAWASSEN BEACH TERMINAL,NOT AVAILABLE,49.03,-123.1
200079,TSAWASSEN,TSAWWASSEN,49.04,-123.08
200080,ENGLISH BLUFF TAP,TSAWWASSEN,49.01,-123.09
200081,BOUNDARY BAY E,NOT AVAILABLE,49.06,-123.03
200082,STEVESTON,NOT AVAILABLE,49.13,-123.15
200083,KIDD NO. 2,RICHMOND,49.2,-123.12
200084,RICHMOND,RICHMOND,49.16,-123.13
200085,SEA ISLAND,NOT AVAILABLE,49.19,-123.13
200086,SEA ISLAND,NOT AVAILABLE,49.19,-123.15
200087,TAP200087,RICHMOND,49.19,-123.12
200088,TAP200088,RICHMOND,49.19,-123.12
200089,GEORGE DICKIE,VANCOUVER,49.23,-123.16
200090,SPERLING,VANCOUVER,49.25,-123.15
200091,CAMOSUN,VANCOUVER,49.25,-123.2
200092,MURRIN,VANCOUVER,49.28,-123.1
200093,DAL GRAUER,VANCOUVER,49.28,-123.12
200094,CATHEDRAL SQUARE,VANCOUVER,49.28,-123.11
200095,TAP200095,VANCOUVER,49.28,-123.1
200096,TAP200096,VANCOUVER,49.28,-123.05
200097,HORNE PAYNE,BURNABY,49.27,-123.02
200098,MAINWARING,VANCOUVER,49.23,-123.08
200099,TILBURY CEMENT,NOT AVAILABLE,49.14,-123.02
200100,BUCKEYE CANADA,NOT AVAILABLE,49.14,-123.0
200101,LAFARGE NO. 1,NOT AVAILABLE,49.16,-123.01
200102,GVRD SEWAGE,NOT AVAILABLE,49.17,-122.95
200103,CROWN PAPER,NOT AVAILABLE,49.19,-122.97
200104,TREE ISLAND,NOT AVAILABLE,49.19,-122.96
200105,TAP200105,NEW WESTMINSTER,49.19,-122.95
200106,TAP200106,NOT AVAILABLE,49.19,-122.96
200107,ISLAND PAPER,NOT AVAILABLE,49.17,-122.93
200108,NEWELL,BURNABY,49.22,-122.96
200109,ROYAL 2,NEW WESTMINSTER,49.2,-122.92
200110,HILL AVENUE,BURNABY,49.24,-122.93
200111,BARNARD,BURNABY,49.26,-122.9
200112,NEW WESTMINSTER,NEW WESTMINSTER,49.22,-122.92
200113,CHEVRON,BURNABY,49.29,-122.99
200114,SHELLBURN,BURNABY,49.28,-122.97
200115,PETRO CANADA,NOT AVAILABLE,49.28,-122.88
